Source,Target
2974196523,749935955927265280
1375239859,514897990
850456295861886977,2923397967
55291962,774592682144464896
406488848,3577017087
3348075755,361849520
952960900750815232,871133532810125312
1732563618,774592682144464896
821153259775791104,871133532810125312
936951022118895617,880525171664310272
954467480377937921,156846206
207270033,749935955927265280
26516577,949146687058030592
713164205470400512,932932751195598850
413214772,855456773070872576
85430860,727417915
925553176736096256,774592682144464896
850298996832821248,871133532810125312
2365692456,871133532810125312
826594998246371331,908697731421605888
2999530600,66205927
802637067146694660,51797285
479701398,57059339
112209238,842135456414330880
751889081135689728,123710016
3028375066,113029811
3422768387,949146687058030592
606707120,361849520
926921068484399104,725179408865218560
811577620102086656,741382796489396225
61547706,949146687058030592
4842899105,871133532810125312
54287593,855456773070872576
2974196523,725179408865218560
4878894964,94199538
194413940,2943093201
3026305647,871133532810125312
1428997974,84076180
57451924,361849520
3207583695,94199538
710126221561044993,899298238934765568
775863094044200960,70987200
83633452,2257104493
384901069,4517964159
384901069,79331709
384901069,897922842599313408
2916456381,871133532810125312
2802544912,1571428436
2738391813,774592682144464896
4078466127,470636324
773210091222949888,788902021441224704
54109909,855456773070872576
954467480377937921,84076180
2557402077,62052765
928656337994764293,871133532810125312
1595774275,2484226796
3414214089,774592682144464896
55989071,2722294315
779055648877281280,84076180
558963186,900150527727730689
2974196523,204485184
126128572,871133532810125312
3342772480,57059339
936951022118895617,84076180
2326187719,451263883
600083336,871133532810125312
39423041,774592682144464896
3008193664,774592682144464896
3405063405,725179408865218560
1966567370,735723034347069440
1451734476,94199538
910716302414794752,774592682144464896
32004851,871133532810125312
529969317,725179408865218560
711240307405406208,711240307405406208
2974196523,361849520
60150347,2923397967
731939934995615744,725179408865218560
177799660,2923397967
954467480377937921,328691962
4180425020,749935955927265280
810474932165611520,871133532810125312
751889081135689728,83001152
48475861,83001152
297129677,711240307405406208
3405063405,204485184
737085823473061888,871133532810125312
150007375,855456773070872576
769944375975612417,938945001203093504
1726873297,2571656740
451046588,749935955927265280
3347560407,711240307405406208
48475861,84076180
828400982396657664,328691962
3432959230,1554592315
38751086,2157102134
135464164,871133532810125312
93901497,749935955927265280
1966567370,764606346918518784
818602078864019458,204485184
131756203,989053890
61780767,274791620
810474932165611520,774592682144464896
4144864757,749935955927265280
3378031715,94199538
320925080,774592682144464896
3432959230,871133532810125312
60150347,15249841
751889081135689728,989053890
320925080,69223042
211295496,847024596918423553
184975134,86570688
710126221561044993,93896674
400177126,123710016
231508654,1917713737
936951022118895617,2571656740
90897488,764606346918518784
775799850814234625,47085809
182561268,3318337402
39156232,774592682144464896
2881939144,871133532810125312
830400968160342017,81023785
197488336,714971892109742080
857320824646365184,711240307405406208
101255538,2923397967
169735769,774592682144464896
3010522882,749935955927265280
826594998246371331,738958512676573184
135464164,749935955927265280
78170826,361849520
923289076131823617,774592682144464896
850086940854583297,774592682144464896
954467480377937921,361849520
914967614551658496,83001152
243456892,749935955927265280
249668286,871133532810125312
891689585868189696,949146687058030592
179110445,774592682144464896
892045436055322625,871133532810125312
2372300844,57059339
109233956,84076180
